Link,Name,Status
https://genealogy.math.ndsu.nodak.edu/id.php?id=218,Jafar Saberi-Nadjafi,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=219,Kanapathypillai Sriskandarajah,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=220,Yoshitaka Uda,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=221,Timothy Ray,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=222,Lois Thur,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=223,Lih-Chyun Wang,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=224,Katarzyna Palasinska,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=225,Anand Vidyashankar,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=226,Brenda Diesslin,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=227,Brian O'Donnell,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=228,Hye-Jeong Kang,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=229,Shan Lin,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=230,Rong Wang,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=231,Feng-Luan Hsu,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=232,Ruey Lai,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=233,Gary Chartrand,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=234,Wolfgang Krull,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=235,Soon-Geol Kwon,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=236,Pamela Reich,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=237,Alexander Abian,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=238,George Reese,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=239,John Atanasoff,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=240,Krishna Athreya,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=241,Clifford Bergman,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=242,Bille Carlson,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=243,Akihiko Takahashi,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=244,James Cornette,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=245,James Corones,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=246,James Dugundji,Valid
